run_nr;distance_measure;neighbour_count;descriptor_1;descriptor_2;weight;bin_count;guessing_accuracy (%);time_needed (min);image_set
#
# RUN 1 with Image Set 1
#
7;euklid;4;3d_histo;mean;0.3;3;33.75;2.38;1
7;euklid;4;3d_histo;mean;0.1;3;33.75;2.39;1
7;euklid;5;3d_histo;mean;0.9;3;37.50;2.46;1
7;euklid;5;3d_histo;mean;0.7;3;37.50;2.45;1
7;euklid;5;3d_histo;mean;0.5;3;37.50;2.48;1
7;euklid;5;3d_histo;mean;0.3;3;37.50;2.46;1
7;euklid;5;3d_histo;mean;0.1;3;37.50;2.43;1
7;euklid;6;3d_histo;mean;0.9;3;37.50;2.45;1
7;euklid;6;3d_histo;mean;0.7;3;37.50;2.48;1
7;euklid;6;3d_histo;mean;0.5;3;37.50;2.51;1
7;euklid;6;3d_histo;mean;0.3;3;37.50;2.52;1
7;euklid;6;3d_histo;mean;0.1;3;37.50;2.48;1
7;euklid;7;3d_histo;mean;0.9;3;37.50;2.52;1
7;euklid;7;3d_histo;mean;0.7;3;37.50;2.53;1
7;euklid;7;3d_histo;mean;0.5;3;37.50;2.53;1
7;euklid;7;3d_histo;mean;0.3;3;38.75;2.51;1
7;euklid;7;3d_histo;mean;0.1;3;38.75;2.51;1
7;euklid;8;3d_histo;mean;0.9;3;38.75;2.50;1
7;euklid;8;3d_histo;mean;0.7;3;38.75;2.51;1
7;euklid;8;3d_histo;mean;0.5;3;38.75;2.51;1
7;euklid;8;3d_histo;mean;0.3;3;38.75;2.52;1
7;euklid;8;3d_histo;mean;0.1;3;38.75;2.51;1
7;euklid;4;mean;3d_histo;0.9;3;33.75;2.27;1
7;euklid;4;mean;3d_histo;0.7;3;33.75;2.25;1
7;euklid;4;mean;3d_histo;0.5;3;33.75;2.25;1
7;euklid;4;mean;3d_histo;0.3;3;33.75;2.18;1
7;euklid;4;mean;3d_histo;0.1;3;33.75;2.12;1
7;euklid;5;mean;3d_histo;0.9;3;37.50;2.12;1
7;euklid;5;mean;3d_histo;0.7;3;37.50;2.12;1
7;euklid;5;mean;3d_histo;0.5;3;37.50;2.11;1
7;euklid;5;mean;3d_histo;0.3;3;37.50;2.12;1
7;euklid;5;mean;3d_histo;0.1;3;38.75;2.11;1
7;euklid;6;mean;3d_histo;0.9;3;37.50;2.12;1
7;euklid;6;mean;3d_histo;0.7;3;37.50;2.11;1
7;euklid;6;mean;3d_histo;0.5;3;37.50;2.12;1
7;euklid;6;mean;3d_histo;0.3;3;37.50;2.11;1
7;euklid;6;mean;3d_histo;0.1;3;38.75;2.12;1
7;euklid;7;mean;3d_histo;0.9;3;37.50;2.12;1
7;euklid;7;mean;3d_histo;0.7;3;37.50;2.12;1
7;euklid;7;mean;3d_histo;0.5;3;37.50;2.12;1
7;euklid;7;mean;3d_histo;0.3;3;37.50;2.11;1
7;euklid;7;mean;3d_histo;0.1;3;38.75;2.12;1
7;euklid;8;mean;3d_histo;0.9;3;38.75;2.11;1
7;euklid;8;mean;3d_histo;0.7;3;38.75;2.11;1
7;euklid;8;mean;3d_histo;0.5;3;38.75;2.12;1
7;euklid;8;mean;3d_histo;0.3;3;38.75;2.14;1
7;euklid;8;mean;3d_histo;0.1;3;38.75;2.12;1
#
# RUN 8 only with Image Set 3
#
8;euklid;3;3d_histo;sobel;0.3;5;35.00;3.24;3
8;euklid;3;3d_histo;sobel;0.5;5;35.00;3.31;3
8;euklid;3;3d_histo;sobel;0.7;5;35.00;3.27;3
8;euklid;3;sobel;3d_histo;0.3;5;35.00;3.38;3
8;euklid;3;sobel;3d_histo;0.5;5;35.00;3.44;3
8;euklid;3;sobel;3d_histo;0.7;5;35.00;3.42;3
#
# RUN 9 only with Image Set 1
#
9;intersect;8;1d_histo;std;0;8;25.00;3.54;1
9;euklid;8;1d_histo;std;0;8;27.50;3.83;1
9;intersect;7;3d_histo;mean;0.3;3;21.25;2.23;1
#
# RUN 10 with Image Set 1
#
